a|a|a|a|fr.m.,XIII,|DET|Adv|Masc
aimes|aimes||||||
amer|amer||||||
amour|amour||||||
apprendre|apprendre||||||
assés|assés||||||
au|au||||||
babillonne|babillonne||||||
biens|biens||||||
ce|ce||||||
chasteillon|chasteillon||||||
cil|cil||||||
conquist|conquist||||||
couraige|couraige||||||
cueur|cueur||||||
de|de||||||
diray|diray||||||
doibt|doibt||||||
du|du||||||
duras|duras||||||
dy|dy||||||
dys|dys||||||
eleneos|eleneos||||||
en|en||||||
entencïon|entencïon||||||
entendre|entendre||||||
entent|entent||||||
ert|ert||||||
escouter|escouter||||||
escoutés|escoutés||||||
escriptz|escriptz||||||
estoit|estoit||||||
et|et||||||
fait|fait||||||
faitz|faitz||||||
filz|filz||||||
fin|fin||||||
fist|fist||||||
florimont|florimont||||||
france|france||||||
francois|francois||||||
francoys|francoys||||||
fust|fust||||||
fut|fut||||||
gregois|gregois||||||
il|il||||||
je|je||||||
juliane|juliane||||||
la|la||||||
le|le||||||
lengue|lengue||||||
leonés|leonés||||||
l’|l’||||||
machidonne|machidonne||||||
mais|mais||||||
mathaquas|mathaquas||||||
mie|mie||||||
mist|mist||||||
m’|m’||||||
naly|naly||||||
ne|ne||||||
nom|nom||||||
nourris|nourris||||||
or|or||||||
orra|orra||||||
ot|ot||||||
ouÿr|ouÿr||||||
oyés|oyés||||||
peult|peult||||||
phillippon|phillippon||||||
pour|pour||||||
pour_quoy|pour_quoy||||||
que|que||||||
qui|qui||||||
racompter|racompter||||||
remenbrance|remenbrance||||||
roumant|roumant||||||
roy|roy||||||
saigement|saigement||||||
seigneurs|seigneurs||||||
si|si||||||
sires|sires||||||
s’|s’||||||
tant|tant||||||
tel|tel||||||
tousjours|tousjours||||||
vassalaige|vassalaige||||||
veult|veult||||||
vous|vous||||||
vueult|vueult||||||
y|y||||||
à|à||||||
